DCHP3A,DCHP4A,DCHP4HRT,DCHP4HST,DCHPP3A,DCHPP4A,DCHWRNT,DCHWRT,DCHWSNF,DCHWSNT,DCHWSSF,DCHWSST,DCHWST,DCHWST2,DCRF1HRV,DCRF3HRV,DCHWDPL,DCHWDPS,DCHWP1RT,DCHWP1SP,DCHWP2RT,DCHWP2SP,DCHWSHON,DCHWNHON,DCHWP1SS,DCHWP2SS,DCHWRV,DCHWSNV,DCHWSSV,DCHWSV,DCRF1HSV,DCRF3HSV,DCHWEN,DCHWDP
-0.8025,55.62,113.3,127.51,2.265,2.1825,93.321,98.65,21.515,119.68,19.734,118.62,94.174,120.06,100,0,77.332,3,1410.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0625
-0.8025,55.62,113.3,127.67,2.265,2.1825,93.321,98.65,21.515,120.68,19.734,119.64,95.191,119.96,100,0,77.332,3,1410.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
-0.8025,54.615,113.3,126.74,2.265,2.1825,93.321,98.65,21.515,120.68,19.734,118.64,95.191,119.52,100,0,77.332,3,1410.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.125
-0.81751,56.64,115.34,129.31,2.265,2.1825,93.321,98.65,21.515,122.72,19.734,121.69,95.191,122.35,100,0,76.322,3,1411.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0156
23.31,54.45,111.27,123.97,2.265,2.1825,93.321,98.65,21.515,122.72,19.734,120.67,95.191,121.19,100,0,77.326,3,1411.1,76.927,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7344
24.337,54.45,110.23,123.5,2.265,2.1825,93.321,98.65,22.531,121.72,20.828,119.65,95.191,120.49,100,0,78.335,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7344
24.337,54.45,110.23,123.02,2.265,2.1825,93.321,99.65,22.531,120.7,20.812,119.65,95.191,120.25,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0312
-0.7575,55.462,113.2,127.59,2.265,2.1825,93.321,99.65,22.531,120.71,20.766,119.67,95.191,120.46,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0469
-0.7575,55.462,113.2,127.1,2.265,2.1825,93.321,99.65,22.531,120.71,20.766,119.67,95.191,119.66,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7656
27.645,55.462,113.2,127.11,2.265,2.1825,93.321,99.65,22.531,119.69,20.766,118.66,95.191,119.91,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0625
-0.7725,55.455,115.23,128.42,2.265,2.1825,93.321,99.65,22.531,122.75,19.734,120.73,95.191,121.2,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,2.7187
-0.7725,55.455,114.21,127.69,2.265,2.1825,93.321,99.65,22.531,120.71,20.734,119.72,95.191,120.14,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0625
22.927,54.442,110.15,123.12,2.265,2.1825,93.321,99.65,22.531,120.71,20.734,119.72,95.191,120.46,100,0,79.352,3,1411.1,78.978,1110.6,0,71,71,1,0,1,1,1,1,1,0,1,3.0781
